nombres,apellidos,partido,comuna,comuna,comuna,cargo
CHRISTIAN PAOLO,CARTES FLORES,INDEPENDIENTES,CURARREHUE,,,
TIMOTEO ABEL,MARIPIL PINCHEIRA,PARTIDO REPUBLICANO DE CHILE,CURARREHUE,,,
HECTOR,CARRASCO RUIZ,INDEPENDIENTES,CURARREHUE,,,
DANIEL,PARRA CALABRANO,INDEPENDIENTES,CURARREHUE,,,ALCALDE
CLAUDIO,HENRIQUEZ GONZALEZ,INDEPENDIENTES,CURARREHUE,,,
INGRID,CALFIN COFRE,INDEPENDIENTES,FREIRE,,,
LUIS ARMANDO,ARIAS LOPEZ,PARTIDO DEMOCRATA CRISTIANO,FREIRE,,,
ELIZABETH,CAMPOS LEAL,INDEPENDIENTES,FREIRE,,,
CLAUDIO,CARCAMO PAREDES,INDEPENDIENTES,FREIRE,,,
PILAR,LAGOS RETAMAL,INDEPENDIENTES,FREIRE,,,
JOSE,COLIHUIL BINIMELIS,INDEPENDIENTES,FREIRE,,,ALCALDE
ANDRES,ROMERO MARTINEZ,PARTIDO DEMOCRATA CRISTIANO,GORBEA,,,ALCALDE
SILVANA YANIXA,SAGREDO BARRA,INDEPENDIENTES,GORBEA,,,
RODRIGO,POBLETE TORRES,INDEPENDIENTES,GORBEA,,,
ALEXIS ARTURO,PINEDA RUIZ,INDEPENDIENTES,LONCOCHE,,,ALCALDE
RICARDO,PEÑA RIQUELME,RENOVACION NACIONAL,LONCOCHE,,,
EDUARDO ANDRES,BASTIAS SANDOVAL,INDEPENDIENTES,LONCOCHE,,,
CESAR,SEPULVEDA HUERTA,PARTIDO DEMOCRATA CRISTIANO,NUEVA IMPERIAL,,,ALCALDE
HERNAN GONZALO,COÑOMAN LEPIMAN,PARTIDO DE LA GENTE,NUEVA IMPERIAL,,,
OSCAR CHEFO,VERGARA TAPIA,INDEPENDIENTES,NUEVA IMPERIAL,,,
MANUEL ADOLFO,SALAS TRAUTMANN,INDEPENDIENTES,NUEVA IMPERIAL,,,
EVELYN VIRGINIA,MORA GALLEGOS,INDEPENDIENTES,PADRE LAS CASAS,,,
MARCELA,ESPARZA SAAVEDRA,EVOLUCION POLITICA,PADRE LAS CASAS,,,
MARIO HERNAN,GONZALEZ REBOLLEDO,INDEPENDIENTES,PADRE LAS CASAS,,,ALCALDE
LUIS ANTONIO,LEVI ANINAO,INDEPENDIENTES,PADRE LAS CASAS,,,
JOSE,BRAVO BURGOS,INDEPENDIENTES,PADRE LAS CASAS,,,
MARTIN,SALAZAR CARVAJAL,PARTIDO DEMOCRATA CRISTIANO,PITRUFQUEN,,,
JACQUELINE,ROMERO INZUNZA,RENOVACION NACIONAL,PITRUFQUEN,,,ALCALDE
JORGE,JARAMILLO HOTT,INDEPENDIENTES,PITRUFQUEN,,,
FELIPE ANDRES,BARRIL RIQUELME,INDEPENDIENTES,PITRUFQUEN,,,
NANCY MILENA,ALFARO JURJEVIC,INDEPENDIENTES,PUCON,,,
EDITA ESTHER,MANSILLA BARRIA,INDEPENDIENTES,PUCON,,,
SEBASTIAN,ALVAREZ RAMIREZ,EVOLUCION POLITICA,PUCON,,,ALCALDE
MARIO,PEÑAFIEL ESPINOZA,INDEPENDIENTES,PUCON,,,
LUIS ALBERTO,BURGOS NORAMBUENA,INDEPENDIENTES,PUCON,,,
JUAN CARLOS,PEREZ NUÑEZ,INDEPENDIENTES,PUCON,,,
JOEL ALDO,CANIO CANIO,INDEPENDIENTES,PUCON,,,
ALVARO,AGUILA RIQUELME,INDEPENDIENTES,PUCON,,,
MARGARITA ZONIA,LLANCAFIL ABURTO,PARTIDO SOCIAL CRISTIANO,SAAVEDRA,,,
ENRRI DANILO,BAÑARES ALARCON,INDEPENDIENTES,SAAVEDRA,,,
RICARDO,TRIPAINAO CALFULAF,INDEPENDIENTES,SAAVEDRA,,,ALCALDE
MARIO,LLANCALEO BLANCO,INDEPENDIENTES,SAAVEDRA,,,
JORGE ALEJANDRO,SEPULVEDA ROSALES,PARTIDO SOCIAL CRISTIANO,TEMUCO,,,
ROBERTO FRANCISCO,NEIRA ABURTO,INDEPENDIENTES,TEMUCO,,,ALCALDE
PEDRO,DURAN SANHUEZA,RENOVACION NACIONAL,TEMUCO,,,
ALFREDO WALDEMAR,RIQUELME ARRIAGADA,PARTIDO POR LA DEMOCRACIA,TEODORO SCHMIDT,,,
BALDOMERO,SANTOS VIDAL,UNION DEMOCRATA INDEPENDIENTE,TEODORO SCHMIDT,,,ALCALDE
JULIO LAUTARO,HUENUL LOPEZ,PARTIDO DEMOCRATA CRISTIANO,TOLTEN,,,
GUILLERMO,MARTINEZ SOTO,UNION DEMOCRATA INDEPENDIENTE,TOLTEN,,,ALCALDE
CRISTIAN ISMAEL,SANDOVAL ORTIZ,INDEPENDIENTES,TOLTEN,,,
MARIA ZULEMA,VERGARA QUIMEN,PARTIDO SOCIAL CRISTIANO,VILLARRICA,,,
CARLOS ALBERTO,MASCIOCCHI LEON,FRENTE AMPLIO,VILLARRICA,,,
GERMAN,VERGARA LAGOS,INDEPENDIENTES,VILLARRICA,,,
PABLO,ASTETE MERMOUD,INDEPENDIENTES,VILLARRICA,,,ALCALDE
KATALINA,GUDENSCHWAGER BASSO,INDEPENDIENTES,VILLARRICA,,,
ALEJANDRA,AILLAPAN HUIRIQUEO,INDEPENDIENTES,VILLARRICA,,,
MIGUEL,CARDENAS BARRIA,PARTIDO DEMOCRATA CRISTIANO,FRESIA,,,ALCALDE
MARCELO IGNACIO,BARRIENTOS BARRIENTOS,INDEPENDIENTES,FRESIA,,,
JAVIER,OYARZO ALTAMIRANO,RENOVACION NACIONAL,FRESIA,,,
LUIS MARCELO,BOHLE FLORES,INDEPENDIENTES,FRESIA,,,
NATALY,SCHADOW MUÑOZ,PARTIDO SOCIALISTA DE CHILE,FRUTILLAR,,,
JAVIER,ARISMENDI VALENZUELA,INDEPENDIENTES,FRUTILLAR,,,ALCALDE
RAMON EUGENIO,ESPINOZA SANDOVAL,INDEPENDIENTES,FRUTILLAR,,,
ANTONIO,CAILEO NAUTO,PARTIDO SOCIAL CRISTIANO,LLANQUIHUE,,,
VICTOR RUBEN,ANGULO MUÑOZ,PARTIDO DEMOCRATA CRISTIANO,LLANQUIHUE,,,ALCALDE
FRANCISCO JAVIER,VASQUEZ ALMONACID,INDEPENDIENTES,LLANQUIHUE,,,
EVELYN,BRINTRUP FLORES,UNION DEMOCRATA INDEPENDIENTE,LLANQUIHUE,,,
LUIS ERNESTO,OROSTICA SALINAS,INDEPENDIENTES,LLANQUIHUE,,,
SANDY OLIVIA,BARRIENTOS AVENDAÑO,PARTIDO SOCIAL CRISTIANO,LOS MUERMOS,,,
LUIS,BLANCO AREVALO,INDEPENDIENTES,LOS MUERMOS,,,
EMILIO,GONZALEZ BURGOS,UNION DEMOCRATA INDEPENDIENTE,LOS MUERMOS,,,ALCALDE
MARCELO ESEDIN,CARDENAS GONZALEZ,INDEPENDIENTES,LOS MUERMOS,,,
JAIME,PAREDES PAREDES,PARTIDO SOCIAL CRISTIANO,OSORNO,,,
EMETERIO,CARRILLO TORRES,PARTIDO DEMOCRATA CRISTIANO,OSORNO,,,
JAVIER,HERNANDEZ HERNANDEZ,UNION DEMOCRATA INDEPENDIENTE,OSORNO,,,
MAURICE,GOUDIE DOMINGUEZ,INDEPENDIENTES,OSORNO,,,
JAIME ALBERTO,BERTIN VALENZUELA,INDEPENDIENTES,OSORNO,,,ALCALDE
ALVARO ANDRES,GOMEZ GONZALEZ,INDEPENDIENTES,OSORNO,,,
GERARDO AUGUSTO,GUNCKEL ARRIAGADA,INDEPENDIENTES,PUERTO OCTAY,,,
JUAN LUIS,AÑAZCO BARRIENTOS,PARTIDO DE LA GENTE,PUERTO OCTAY,,,
MARIA ELENA,OJEDA BETANCOURT,UNION DEMOCRATA INDEPENDIENTE,PUERTO OCTAY,,,ALCALDE
TAMARA,AVENDAÑO LEVINAO,PARTIDO SOCIAL CRISTIANO,PUERTO VARAS,,,
JAMES,FRY CAREY,INDEPENDIENTES,PUERTO VARAS,,,
TOMAS ANDRES,GARATE SILVA,INDEPENDIENTES,PUERTO VARAS,,,ALCALDE
RAMON,BAHAMONDE CEA,INDEPENDIENTES,PUERTO VARAS,,,
CESAR,CROT VARGAS,PARTIDO DEMOCRATA CRISTIANO,PURRANQUE,,,
ALICIA DEL CARMEN,VILLAR VARGAS,INDEPENDIENTES,PURRANQUE,,,ALCALDE
ISIDORO RODOLFO,BARQUIN PARDO,INDEPENDIENTES,PURRANQUE,,,
ERWIN DAVID,PEREZ MONJE,INDEPENDIENTES,PURRANQUE,,,
GASTON BERNABE,DELGADO ALVAREZ,PARTIDO POR LA DEMOCRACIA,PUYEHUE,,,
JIMENA,NUÑEZ MORALES,UNION DEMOCRATA INDEPENDIENTE,PUYEHUE,,,ALCALDE
IVAN EDUARDO,REYES SANTANA,INDEPENDIENTES,PUYEHUE,,,
DANIELA NATALIE,MOLINA SANDOVAL,INDEPENDIENTES,PUYEHUE,,,
ERNESTO,HUAIQUIAN VERA,INDEPENDIENTES,RIO NEGRO,,,
SEBASTIAN,CRUZAT CARCAMO,RENOVACION NACIONAL,RIO NEGRO,,,ALCALDE
JOSE LUIS,MUÑOZ URIBE,PARTIDO DEMOCRATA CRISTIANO,SAN JUAN DE LA COSTA,,,ALCALDE
MARIA EUGENIA,SILVA MUÑOZ,INDEPENDIENTES,SAN JUAN DE LA COSTA,,,
MARGOT INES,BARRIENTOS MOLINA,INDEPENDIENTES,SAN JUAN DE LA COSTA,,,
MARCELO ENRIQUE,CHEUQUIAN CUMIAN,INDEPENDIENTES,SAN JUAN DE LA COSTA,,,
ANA,SANTIBAÑEZ HERNANDEZ,INDEPENDIENTES,SAN JUAN DE LA COSTA,,,
JOSE ARMANDO,GUARDA CARRILLO,INDEPENDIENTES,SAN PABLO,,,
MARCO ANTONIO,CARRILLO BRAVO,PARTIDO POR LA DEMOCRACIA,SAN PABLO,,,ALCALDE
CARMEN,CABRERA PINUER,INDEPENDIENTES,SAN PABLO,,,
JUAN CARLOS,SOTO CAUCAU,RENOVACION NACIONAL,SAN PABLO,,,
JUAN ELIAS,SANHUEZA VARGAS,PARTIDO SOCIAL CRISTIANO,ANCUD,,,
CARLOS GUSTAVO,SEITZ ASPEE,PARTIDO REPUBLICANO DE CHILE,ANCUD,,,
ALIRO,CAIMAPO OYARZO,UNION DEMOCRATA INDEPENDIENTE,ANCUD,,,
MONICA PAMELA,MALDONADO VELASQUEZ,INDEPENDIENTES,ANCUD,,,
EDUARDO RAUL,ALVAREZ VIDAL,INDEPENDIENTES,ANCUD,,,
ANDRES ANTONIO,OJEDA CARE,INDEPENDIENTES,ANCUD,,,ALCALDE
RUBEN ROLANDO,CARDENAS GOMEZ,PARTIDO RADICAL DE CHILE,CALBUCO,,,
LORENA ESTER,PEREZ TORO,PARTIDO REPUBLICANO DE CHILE,CALBUCO,,,
SERGIO,GARCIA ALVAREZ,UNION DEMOCRATA INDEPENDIENTE,CALBUCO,,,
MARCO ANDRES,SILVA MALDONADO,INDEPENDIENTES,CALBUCO,,,ALCALDE
JUAN FRANCISCO,CALBUCOY GUERRERO,INDEPENDIENTES,CALBUCO,,,
CARLOS,MANSILLA GALLARDO,INDEPENDIENTES,CALBUCO,,,
JAIME LEONEL,GUERRERO SEPULVEDA,INDEPENDIENTES,CASTRO,,,
BALTAZAR,ELGUETA CHEUQUEPIL,PARTIDO SOCIALISTA DE CHILE,CASTRO,,,ALCALDE
JUAN EDUARDO,VERA SANHUEZA,INDEPENDIENTES,CASTRO,,,
MARCELO JAVIER,AÑAZCO NEGRON,INDEPENDIENTES,CHAITEN,,,
CLARA,LAZCANO FERNANDEZ,INDEPENDIENTES,CHAITEN,,,ALCALDE
ANAKENNA,MANCILLA VEGA,PARTIDO SOCIALISTA DE CHILE,CHONCHI,,,
FERNANDO,OYARZUN MACIAS,RENOVACION NACIONAL,CHONCHI,,,ALCALDE
JOSE ENRIQUE,NAVARRO OYARZO,INDEPENDIENTES,CHONCHI,,,
CARLOS HERNAN ALFREDO,SOTO SOTOMAYOR,INDEPENDIENTES,COCHAMO,,,
PABLO CESAR,MARIN TELLEZ,PARTIDO REPUBLICANO DE CHILE,COCHAMO,,,
JESUS SILVERIO,MORALES ROSALES,INDEPENDIENTES,COCHAMO,,,
FRANCISCO JAVIER,DONOSO OYARZUN,INDEPENDIENTES,COCHAMO,,,ALCALDE
ELISEO FACUNDO,BAHAMONDE TURRA,INDEPENDIENTES,COCHAMO,,,
JAVIERA,YAÑEZ REBOLLEDO,INDEPENDIENTES,CURACO DE VELEZ,,,ALCALDE
ALEX WALDEMAR,GOMEZ AGUILAR,INDEPENDIENTES,DALCAHUE,,,
ALEJANDRA,VILLEGAS HUICHAMAN,INDEPENDIENTES,DALCAHUE,,,ALCALDE
YASNA CECILIA,IGOR GUICHACOY,INDEPENDIENTES,DALCAHUE,,,
JUAN CARLOS,SOTO CARDENAS,INDEPENDIENTES,DALCAHUE,,,
CARLOS ROBERTO,CARDENAS BAHAMONDE,INDEPENDIENTES,DALCAHUE,,,
ALEJANDRA,TORRES VASQUEZ,UNION DEMOCRATA INDEPENDIENTE,FUTALEUFU,,,
JOSE ALEJANDRO,AVELLO BASCUR,INDEPENDIENTES,FUTALEUFU,,,
FERNANDO ERWIN,GRANDON DOMKE,INDEPENDIENTES,FUTALEUFU,,,ALCALDE
ROBERTO,SOTO ESCALONA,PARTIDO SOCIALISTA DE CHILE,HUALAIHUE,,,
CRISTINA,ESPINOZA OJEDA,INDEPENDIENTES,HUALAIHUE,,,ALCALDE
JORGE,WESTERMEIER ESTRADA,PARTIDO DEMOCRATA CRISTIANO,MAULLIN,,,
NABIH,SOZA CARDENAS,INDEPENDIENTES,MAULLIN,,,ALCALDE
HARDY,DIMTER GALLARDO,INDEPENDIENTES,MAULLIN,,,
JULIO,DELGADO RETAMAL,RENOVACION NACIONAL,PALENA,,,ALCALDE
WILLY OCTAVIO,ROSAS DELGADO,INDEPENDIENTES,PALENA,,,
NELSON,TORO AGUIRRE,INDEPENDIENTES,PUERTO MONTT,,,
RABINDRANATH,QUINTEROS LARA,PARTIDO SOCIALISTA DE CHILE,PUERTO MONTT,,,
GISELLA SHANTEL,ANDRADE MUÑOZ,INDEPENDIENTES,PUERTO MONTT,,,
RODRIGO,WAINRAIHGT GALILEA,RENOVACION NACIONAL,PUERTO MONTT,,,ALCALDE
COZUT,VASQUEZ GONZALEZ,INDEPENDIENTES,PUERTO MONTT,,,
ARTURO,SANCHEZ GATICA,INDEPENDIENTES,PUERTO MONTT,,,
ANDREA,QUINTANA DIAZ,INDEPENDIENTES,PUERTO MONTT,,,
ELSON NOLBERTO,CARCAMO BARRIA,PARTIDO POR LA DEMOCRACIA,PUQUELDON,,,
ALEJANDRO ARIEL,CARDENAS QUEZADA,INDEPENDIENTES,PUQUELDON,,,ALCALDE
ALEX,AGUERO ALVARADO,RENOVACION NACIONAL,PUQUELDON,,,
MARCO ANTONIO,URIBE BARRIA,INDEPENDIENTES,PUQUELDON,,,
GABRIELA MERCEDES,VERA MARTINEZ,INDEPENDIENTES,PUQUELDON,,,
BERNARDINO ROBERTO,ARELLANO INOSTROZA,INDEPENDIENTES,PUQUELDON,,,
BELFOR TEODOCIO,MONTIEL VERA,INDEPENDIENTES,PUQUELDON,,,
MARCOS,VARGAS OYARZUN,PARTIDO DEMOCRATA CRISTIANO,QUEILEN,,,ALCALDE
ROMELIO,BORQUEZ HIDALGO,INDEPENDIENTES,QUEILEN,,,
MIGUEL,OPITZ GONZALEZ,INDEPENDIENTES,QUEILEN,,,
JOSE ANTONIO,LOW POBLETE,INDEPENDIENTES,QUELLON,,,
CARLOS,CHIGUAY CARCAMO,PARTIDO DEMOCRATA CRISTIANO,QUELLON,,,
PATRICIO,ALTAMIRANO BARRIAS,INDEPENDIENTES,QUELLON,,,
PEDRO ANDRES,BARRIA OYARZO,INDEPENDIENTES,QUELLON,,,
PAULA ANDREA,MILLACURA TORRES,INDEPENDIENTES,QUELLON,,,
LUIS MARCELO,ZAMORANO DIAZ,INDEPENDIENTES,QUELLON,,,
CLAUDIO JORGE,BARUDY LABRIN,INDEPENDIENTES,QUELLON,,,ALCALDE
CLAUDIO ESTEBAN,VERA MANSILLA,INDEPENDIENTES,QUELLON,,,
JAVIER,UGARTE MANSILLA,PARTIDO SOCIALISTA DE CHILE,QUEMCHI,,,ALCALDE
GUSTAVO,LOBOS MARIN,INDEPENDIENTES,QUEMCHI,,,
PATRICIO JAVIER,BARRIA ALVAREZ,INDEPENDIENTES,QUEMCHI,,,
RENE,GARCES ALVAREZ,INDEPENDIENTES,QUINCHAO,,,ALCALDE
LUIS HERNAN,GONZALEZ URIBE,INDEPENDIENTES,QUINCHAO,,,
WASHINGTON ARNALDO,ULLOA VILLARROEL,UNION DEMOCRATA INDEPENDIENTE,QUINCHAO,,,
OSCAR ARISTIDES,GALLARDO CALBUYAHUE,INDEPENDIENTES,QUINCHAO,,,
JULIO ESTEBAN CONFUCIO,URIBE ALVARADO,INDEPENDIENTES,AYSEN,,,
LUIS,MARTINEZ GALLARDO,UNION DEMOCRATA INDEPENDIENTE,AYSEN,,,ALCALDE
SERGIO ARTURO,GONZALEZ BORQUEZ,INDEPENDIENTES,AYSEN,,,
SANTOS FIDEL,SEPULVEDA AVILEZ,INDEPENDIENTES,CHILE CHICO,,,
GONZALO,CRUCES ALVAREZ,RENOVACION NACIONAL,CHILE CHICO,,,
RICARDO ENRIQUE,IBARRA VALDEBENITO,INDEPENDIENTES,CHILE CHICO,,,
ARIEL,KEIM HERMOSILLA,INDEPENDIENTES,CHILE CHICO,,,ALCALDE
GLORIA DEL CARMEN,CADAGAN OPAZO,INDEPENDIENTES,CISNES,,,
FRANCISCO,RONCAGLIOLO LEPIO,RENOVACION NACIONAL,CISNES,,,ALCALDE
JORGE EDUARDO,CALDERON NUÑEZ,PARTIDO RADICAL DE CHILE,COCHRANE,,,
PATRICIO,ULLOA GEORGIA,UNION DEMOCRATA INDEPENDIENTE,COCHRANE,,,ALCALDE
JAIME,JORQUERA HERRERA,PARTIDO SOCIAL CRISTIANO,COYHAIQUE,,,
CARLOS,GATICA VILLEGAS,PARTIDO DEMOCRATA CRISTIANO,COYHAIQUE,,,ALCALDE
LUZ VALERIA,VILLEGAS OJEDA,PARTIDO REPUBLICANO DE CHILE,COYHAIQUE,,,
LUPERCIANO SEGUNDO,MUÑOZ GONZALEZ,INDEPENDIENTES,COYHAIQUE,,,
EUGENIO,CANALES CANALES,INDEPENDIENTES,COYHAIQUE,,,
PAULA,RODRIGUEZ VALENZUELA,INDEPENDIENTES,GUAITECAS,,,
MARCOS RAFAEL,SILVA MIRANDA,INDEPENDIENTES,GUAITECAS,,,
BANS,PUINAO CARIMONEY,EVOLUCION POLITICA,GUAITECAS,,,ALCALDE
CLAUDIA ANDREA,VALDES VASQUEZ,INDEPENDIENTES,LAGO VERDE,,,ALCALDE
MARCO ADIEL,SAN MARTIN SAN MARTIN,PARTIDO DEMOCRATAS CHILE,LAGO VERDE,,,
DOLY,CADAGAN MARDONES,INDEPENDIENTES,LAGO VERDE,,,
RAUL ROGELIO,BECERRA ESCOBAR,INDEPENDIENTES,LAGO VERDE,,,
CLAUDIO,FICA GOMEZ,PARTIDO DEMOCRATA CRISTIANO,O'HIGGINS,,,ALCALDE
ROBERTO,RECABAL CARCAMO,INDEPENDIENTES,O'HIGGINS,,,
LORENA ANDREA,MOLINA MANSILLA,INDEPENDIENTES,O'HIGGINS,,,
GUSTAVO DIEGO,MARQUEZ CADAGAN,INDEPENDIENTES,O'HIGGINS,,,
BRUNO DEL CARMEN,MANSILLA PEREZ,INDEPENDIENTES,O'HIGGINS,,,
JESSY PAOLA,VARGAS BUSTAMANTE,INDEPENDIENTES,RIO IBAÑEZ,,,
MARCELO,JELVEZ CARDENAS,UNION DEMOCRATA INDEPENDIENTE,RIO IBAÑEZ,,,ALCALDE
ABEL ALBINO,BECERRA VIDAL,INDEPENDIENTES,TORTEL,,,
MARISELA CLORINDA,JIMENEZ CRUCES,INDEPENDIENTES,TORTEL,,,ALCALDE
BERNARDO ALEJANDRO,LOPEZ SIERRA,INDEPENDIENTES,TORTEL,,,
PATRICIO,FERNANDEZ ALARCON,PARTIDO DEMOCRATA CRISTIANO,ANTARTICA,,,ALCALDE
ARTURO,STORAKER MOLINA,UNION DEMOCRATA INDEPENDIENTE,ANTARTICA,,,
CARLOS ALBERTO,SOTO ANGUITA,INDEPENDIENTES,ANTARTICA,,,
PATRICIO,FERNANDEZ ALARCON,PARTIDO DEMOCRATA CRISTIANO,CABO DE HORNOS(EX-NAVARINO),,,ALCALDE
ARTURO,STORAKER MOLINA,UNION DEMOCRATA INDEPENDIENTE,CABO DE HORNOS(EX-NAVARINO),,,
CARLOS ALBERTO,SOTO ANGUITA,INDEPENDIENTES,CABO DE HORNOS(EX-NAVARINO),,,
FERNANDO,OJEDA GONZALEZ,PARTIDO SOCIALISTA DE CHILE,LAGUNA BLANCA,,,ALCALDE
JAIME,ARTEAGA VERA,INDEPENDIENTES,LAGUNA BLANCA,,,
CARLOS,FAJARDO CAUÑAN,INDEPENDIENTES,LAGUNA BLANCA,,,
MARCELO RODRIGO,CONTRERAS SOTO,PARTIDO DEMOCRATA CRISTIANO,NATALES,,,
LIBER MAREL,LAZO NAVARRO,PARTIDO REPUBLICANO DE CHILE,NATALES,,,
VERONICA BEATRIZ,PEREZ MAGDALENA,INDEPENDIENTES,NATALES,,,
ANA ESTER,MAYORGA BAHAMONDE,INDEPENDIENTES,NATALES,,,ALCALDE
JOSE GABRIEL,PARADA AGUILAR,INDEPENDIENTES,PORVENIR,,,ALCALDE
CARLOS GUSTAVO,SOTO MIRANDA,RENOVACION NACIONAL,PORVENIR,,,
CRISTIAN JUVENAL,ANDRADE GALLARDO,INDEPENDIENTES,PORVENIR,,,
EDUARDO,HERNANDEZ ASTUDILLO,INDEPENDIENTES,PRIMAVERA,,,
KARINA,FERNANDEZ MARIN,INDEPENDIENTES,PRIMAVERA,,,ALCALDE
CARLOS,HURTADO OYARZUN,INDEPENDIENTES,PRIMAVERA,,,
JAVIERA,CALVO RIFO,PARTIDO SOCIAL CRISTIANO,PUNTA ARENAS,,,
VERONICA NOELIA,AGUILAR MARTINEZ,INDEPENDIENTES,PUNTA ARENAS,,,
CLAUDIO,RADONICH JIMENEZ,RENOVACION NACIONAL,PUNTA ARENAS,,,ALCALDE
JORGE,ESPINOZA VASQUEZ,INDEPENDIENTES,RIO VERDE,,,
SABINA,BALLESTEROS VARGAS,UNION DEMOCRATA INDEPENDIENTE,RIO VERDE,,,
TATIANA,VASQUEZ BARRIENTOS,INDEPENDIENTES,RIO VERDE,,,ALCALDE
JEANNETTE ISABEL,ANDRADE RUIZ,PARTIDO DEMOCRATA CRISTIANO,SAN GREGORIO,,,ALCALDE
ALEJANDRO,CARCAMO GAJARDO,INDEPENDIENTES,SAN GREGORIO,,,
MARCO AURELIO,ARTEAGA VARGAS,INDEPENDIENTES,SAN GREGORIO,,,
CRISTIAN EDUARDO,GODOY POBLETE,INDEPENDIENTES,SAN GREGORIO,,,
LUIS,BARRIA ANDRADE,INDEPENDIENTES,TIMAUKEL,,,ALCALDE
FERNANDO RENE,CALLAHAN GIDDINGS,INDEPENDIENTES,TIMAUKEL,,,
AMARU ERNESTO,ROGEL BORQUEZ,PARTIDO COMUNISTA DE CHILE,TORRES DEL PAINE,,,
ANAHI,CARDENAS RODRIGUEZ,INDEPENDIENTES,TORRES DEL PAINE,,,ALCALDE
VICTOR HUGO,MANSILLA VIDAL,INDEPENDIENTES,TORRES DEL PAINE,,,
FREDDY,BRITO URIBE,INDEPENDIENTES,LA GRANJA,,,
EDITA,ALARCON SAAVEDRA,PARTIDO DEMOCRATA CRISTIANO,LA GRANJA,,,
SILVANA,POBLETE ROMERO,INDEPENDIENTES,LA GRANJA,,,
MARCELO,ORTIZ ARAVENA,INDEPENDIENTES,LA GRANJA,,,
GERMAN,PINO MATURANA,INDEPENDIENTES,LA GRANJA,,,
CLAUDIO EUGENIO,ARRIAGADA MACAYA,INDEPENDIENTES,LA GRANJA,,,ALCALDE
FRANCO,FRIAS GUTIERREZ,INDEPENDIENTES,MACUL,,,
CAMILA LORENA,DONATO PIZARRO,PARTIDO COMUNISTA DE CHILE,MACUL,,,
EDUARDO RENE,ESPINOZA GAETE,PARTIDO REPUBLICANO DE CHILE,MACUL,,,ALCALDE
GONZALO,MONTOYA RIQUELME,INDEPENDIENTES,MACUL,,,
EMILIO,ROMERO BERRIOS,INDEPENDIENTES,ÑUÑOA,,,
EMILIA,RIOS SAAVEDRA,FRENTE AMPLIO,ÑUÑOA,,,
JOSUE ALBERT,ORMAZABAL MORALES,INDEPENDIENTES,ÑUÑOA,,,
SEBASTIAN,SICHEL RAMIREZ,INDEPENDIENTES,ÑUÑOA,,,ALCALDE
DANIELA,AROS TORRES,PARTIDO SOCIAL CRISTIANO,PROVIDENCIA,,,
MACARENA,FERNANDEZ DONOSO,FRENTE AMPLIO,PROVIDENCIA,,,
DRAZEN ANDRE,MARKUSOVIC CACERES,PARTIDO DE LA GENTE,PROVIDENCIA,,,
CRISTIAN FRANCO,ALDAY SAAVEDRA,PARTIDO ALIANZA VERDE POPULAR,PROVIDENCIA,,,
JAIME,BELLOLIO AVARIA,UNION DEMOCRATA INDEPENDIENTE,PROVIDENCIA,,,ALCALDE
NICOL ISOLINA,AGUILERA ORTIZ,PARTIDO ALIANZA VERDE POPULAR,SAN JOAQUIN,,,
MAURICIO,NOVA FIGUEROA,INDEPENDIENTES,SAN JOAQUIN,,,
SERGIO RIGOBERTO,ECHEVERRIA GARCIA,INDEPENDIENTES,SAN JOAQUIN,,,
CRISTOBAL AMARO,LABRA BASSA,INDEPENDIENTES,SAN JOAQUIN,,,ALCALDE
GASPAR MATEO,ORTIZ CARDENAS,INDEPENDIENTES,SANTIAGO,,,
IRACI LUIZA,HASSLER JACOB,PARTIDO COMUNISTA DE CHILE,SANTIAGO,,,
KAREN ELIZABETH,OSORIO MUÑOZ,PARTIDO DE LA GENTE,SANTIAGO,,,
ROSARIO DEL CARMEN,CARVAJAL ARAYA,INDEPENDIENTES,SANTIAGO,,,
MARIO,DESBORDES JIMENEZ,RENOVACION NACIONAL,SANTIAGO,,,ALCALDE
MARILEN,CABRERA OLMOS,PARTIDO ACCION HUMANISTA,LA REINA,,,
VALENTINA,LOWICK-RUSSELL VARGAS,PARTIDO ALIANZA VERDE POPULAR,LA REINA,,,
JOSE MANUEL,PALACIOS PARRA,UNION DEMOCRATA INDEPENDIENTE,LA REINA,,,ALCALDE
MARCELA ANDREA,CUBILLOS HEVIA,INDEPENDIENTES,LAS CONDES,,,
CONSTANZA GABRIELA,SCHONHAUT SOTO,FRENTE AMPLIO,LAS CONDES,,,
ANGEL RODRIGO,ROZAS DIAZ,PARTIDO DE LA GENTE,LAS CONDES,,,
IGOR,CONTRERAS JERIA,PARTIDO ALIANZA VERDE POPULAR,LAS CONDES,,,
MARCELA,CUBILLOS SIGALL,INDEPENDIENTES,LAS CONDES,,,
CATALINA,SAN MARTIN CAVADA,INDEPENDIENTES,LAS CONDES,,,ALCALDE
LORETO,LETELIER BARRERA,INDEPENDIENTES,LO BARNECHEA,,,
ANDREA,ARAYA SALAZAR,INDEPENDIENTES,LO BARNECHEA,,,
PEDRO ENRIQUE,LEA-PLAZA EDWARDS,PARTIDO REPUBLICANO DE CHILE,LO BARNECHEA,,,
FELIPE,ALESSANDRI VERGARA,RENOVACION NACIONAL,LO BARNECHEA,,,ALCALDE
CARLOS MATIAS,GALLARDO BELLO,INDEPENDIENTES,LO BARNECHEA,,,
