rut,nombres,apellidos,cargo,comuna,partido
,Maria Estrella,Montero Carrasco,Alcalde,Olivar,Independientes
,Sebastian,Rodriguez Fuenzalida,Alcalde,Quinta De Tilcoco,Independientes
,Raimundo,Agliati Marchant,Alcalde,Rancagua,Independientes
,Enrique,Del Barrio Hernandez,Alcalde,Rengo,Independientes
,Waldo Antonio,Valdivia Montecinos,Alcalde,Requinoa,Independientes
,Fabian,Soto Gonzalez,Alcalde,Chepica,Partido Socialista De Chile
,Marco Antonio,Contreras Jorquera,Alcalde,Chimbarongo,Independientes
,Valentin Geronimo,Vidal Rubio,Alcalde,La Estrella,Independientes
,Juan Pablo,Flores Astorga,Alcalde,Las Cabras,Partido Socialista De Chile
,Rodrigo,Palominos Vidal,Alcalde,Litueche,Independientes
,Jose,Roman Chavez,Alcalde,Lolol,Independientes
,Sebastian,Flores Labarca,Alcalde,Marchigue,Independientes
,Anibal,Valenzuela Cariz,Alcalde,Nancagua,Independientes
,Yanko,Blumen Antivilo,Alcalde,Navidad,Independientes
,Carlos,Carrero Perez,Alcalde,Palmilla,Independientes
,Moises,Carvacho Vargas,Alcalde,Paredones,Renovacion Nacional
,Claudio Abraham,Cumsille Chomali,Alcalde,Peralillo,Partido Socialista De Chile
,Fermin Alejandro,Carreño Carreño,Alcalde,Peumo,Independientes
,Adolfo,Ceron Gonzalez,Alcalde,Pichidegua,Independientes
,Roberto,Cordova Carreño,Alcalde,Pichilemu,Independientes
,Marcelo,Gonzalez Farias,Alcalde,Placilla,Partido Democrata Cristiano
,Gonzalo,Baraona Bezanilla,Alcalde,Pumanque,Independientes
,Pablo,Silva Perez,Alcalde,San Fernando,Independientes
,Yamil,Ethit Romero,Alcalde,Santa Cruz,Independientes
,Guido,Carreño Reyes,Alcalde,San Vicente,Union Democrata Independiente
,Carlos,Valenzuela Gajardo,Alcalde,Constitucion,Independientes
,Fernando,Alcantara Barrios,Alcalde,Curepto,Independientes
,George Raphael,Bordachar Sotomayor,Alcalde,Curico,Independientes
,Carlos Alberto,Correa Miños,Alcalde,Empedrado,Independientes
,Carolina,Muñoz Nuñez,Alcalde,Hualañe,Partido Democrata Cristiano
,Claudio Alejandro,Reyes Fuenzalida,Alcalde,Licanten,Independientes
,Pablo,Luna Amigo,Alcalde,Maule,Partido Democrata Cristiano
,Felipe,Mendez Guzman,Alcalde,Molina,Independientes
,Boris,Cabrera Lazo,Alcalde,Pelarco,Independientes
,Jose Miguel,Tobar Aravena,Alcalde,Pencahue,Independientes
,Claudia,Medina Hernandez,Alcalde,Rauco,Independientes
,Americo,Guajardo Oyarce,Alcalde,Rio Claro,Renovacion Nacional
,Jose Antonio,Arellano Lynch,Alcalde,Romeral,Renovacion Nacional
,Osvaldo,Jorquera Padilla,Alcalde,Sagrada Familia,Union Democrata Independiente
,Juan Raul,Rojas Vergara,Alcalde,San Clemente,Independientes
,Basilio Octavio,Perez Diaz,Alcalde,San Rafael,Independientes
,Juan Carlos,Diaz Avendaño,Alcalde,Talca,Renovacion Nacional
,Wildo Richard,Farias Gonzalez,Alcalde,Teno,Independientes
,Patricio,Rivera Bravo,Alcalde,Vichuquen,Independientes
,Jorge,Muñoz Saavedra,Alcalde,Cauquenes,Independientes
,Marcelo Osvaldo,Waddington Guajardo,Alcalde,Chanco,Partido Radical De Chile
,Pedro Pablo,Muñoz Oses,Alcalde,Colbun,Independientes
,Mario,Meza Vasquez,Alcalde,Linares,Renovacion Nacional
,Jaime Antonio,Briones Jorquera,Alcalde,Longavi,Independientes
,Patricio Alejandro,Ojeda Alarcon,Alcalde,Parral,Independientes
,Maria Luz,Reyes Orellana,Alcalde,Pelluhue,Independientes
,Rafael,Ramirez Parra,Alcalde,Retiro,Renovacion Nacional
,Jorge,Silva Sepulveda,Alcalde,San Javier,Partido Democrata Cristiano
,Arturo Del Carmen,Palma Vilches,Alcalde,Villa Alegre,Independientes
,Jonathan,Norambuena Barros,Alcalde,Yerbas Buenas,Independientes
,Jorge,Lozano Zapata,Alcalde,Chiguayante,Independientes
,Hector,Muñoz Uribe,Alcalde,Concepcion,Partido Social Cristiano
,Boris,Chamorro Rebolledo,Alcalde,Coronel,Partido Socialista De Chile
,Rodrigo,Montero Cuevas,Alcalde,Florida,Partido Socialista De Chile
,Miguel Angel,Rivera Morales,Alcalde,Hualpen,Partido Por La Democracia
,Ricardo,Fuentes Palma,Alcalde,Hualqui,Independientes
,Rodrigo,Vera Riquelme,Alcalde,Penco,Independientes
,Juan Pablo,Spoerer Brito,Alcalde,San Pedro De La Paz,Evolucion Politica
,Angel,Castro Medina,Alcalde,Santa Juana,Independientes
,Eduardo,Saavedra Bustos,Alcalde,Talcahuano,Partido Socialista De Chile
,Italo,Caceres Lizana,Alcalde,Tome,Independientes
,Felix Segundo,Vita Manquepi,Alcalde,Alto Biobio,Independientes
,Sandra,Bobadilla Cisterna,Alcalde,Antuco,Independientes
,Mauricio,Alarcon Guzman,Alcalde,Arauco,Independientes
,Yusef,Sabag Araneda,Alcalde,Cabrero,Independientes
,Jorge,Radonich Barra,Alcalde,Cañete,Renovacion Nacional
,Carlos Arturo,Leal Neira,Alcalde,Contulmo,Independientes
,Luis,Gengnagel Gutierrez,Alcalde,Curanilahue,Independientes
,Vladimir,Fica Toledo,Alcalde,Laja,Renovacion Nacional
,Marcela,Tiznado Fernandez,Alcalde,Lebu,Independientes
,Pablo,Vegas Verdugo,Alcalde,Los Alamos,Independientes
,Jose,Perez Arriagada,Alcalde,Los Angeles,Partido Radical De Chile
,Jaime,Vasquez Castillo,Alcalde,Lota,Independientes
,Jose Miguel,Muñoz Saez,Alcalde,Mulchen,Partido Republicano De Chile
,Carlos,Toloza Soto,Alcalde,Nacimiento,Union Democrata Independiente
,Alfredo Alejandro,Peña Peña,Alcalde,Negrete,Partido Radical De Chile
,Pablo,Urrutia Maldonado,Alcalde,Quilaco,Independientes
,Claudio,Solar Jara,Alcalde,Quilleco,Partido Democrata Cristiano
,Rabindranath,Acuña Olate,Alcalde,San Rosendo,Independientes
,Cristian,Oses Abuter,Alcalde,Santa Barbara,Renovacion Nacional
,Jose,Linco Garrido,Alcalde,Tirua,Independientes
,Jaime,Veloso Jara,Alcalde,Tucapel,Renovacion Nacional
,Jose,Saez Vinet,Alcalde,Yumbel,Independientes
,Enrique,Neira Neira,Alcalde,Angol,Independientes
,Manuel,Macaya Ramirez,Alcalde,Collipulli,Renovacion Nacional
,Hugo,Vidal Merino,Alcalde,Curacautin,Independientes
,Luis,Orellana Rocha,Alcalde,Ercilla,Independientes
,Hans,Gonzalez Espinoza,Alcalde,Galvarino,Renovacion Nacional
,Ricardo,Jaramillo Galindo,Alcalde,Lautaro,Renovacion Nacional
,Eduardo,Yañez Rivas,Alcalde,Lonquimay,Independientes
,Victor Hugo,Gonzalez Rodriguez,Alcalde,Los Sauces,Independientes
,Richard,Leonelli Contreras,Alcalde,Lumaco,Independientes
,Alejandro,Cuminao Barros,Alcalde,Melipeuco,Independientes
,Alejandro,Sepulveda Tapia,Alcalde,Perquenco,Partido Por La Democracia
,Frann,Barbieri Fernandez,Alcalde,Puren,Evolucion Politica
,Claudio,Musre Contreras,Alcalde,Renaico,Independientes
,Luis,Alvarez Valenzuela,Alcalde,Traiguen,Independientes
,Javier Alejandro,Jaramillo Soto,Alcalde,Victoria,Independientes
,Katherinne,Migueles Muñoz,Alcalde,Vilcun,Renovacion Nacional
,Helmuth,Martinez Llancapan,Alcalde,Carahue,Independientes
,Alvaro,Labraña Opazo,Alcalde,Cholchol,Independientes
,Cristian,Moraga Lagos,Alcalde,Cunco,Independientes
,Daniel,Parra Calabrano,Alcalde,Curarrehue,Independientes
,Jose,Colihuil Binimelis,Alcalde,Freire,Independientes
,Andres,Romero Martinez,Alcalde,Gorbea,Partido Democrata Cristiano
,Alexis Arturo,Pineda Ruiz,Alcalde,Loncoche,Independientes
,Cesar,Sepulveda Huerta,Alcalde,Nueva Imperial,Partido Democrata Cristiano
,Mario Hernan,Gonzalez Rebolledo,Alcalde,Padre Las Casas,Independientes
,Jacqueline,Romero Inzunza,Alcalde,Pitrufquen,Renovacion Nacional
,Sebastian,Alvarez Ramirez,Alcalde,Pucon,Evolucion Politica
,Ricardo,Tripainao Calfulaf,Alcalde,Saavedra,Independientes
,Roberto Francisco,Neira Aburto,Alcalde,Temuco,Independientes
,Baldomero,Santos Vidal,Alcalde,Teodoro Schmidt,Union Democrata Independiente
,Guillermo,Martinez Soto,Alcalde,Tolten,Union Democrata Independiente
,Pablo,Astete Mermoud,Alcalde,Villarrica,Independientes
,Miguel,Cardenas Barria,Alcalde,Fresia,Partido Democrata Cristiano
,Javier,Arismendi Valenzuela,Alcalde,Frutillar,Independientes
,Victor Ruben,Angulo Muñoz,Alcalde,Llanquihue,Partido Democrata Cristiano
,Emilio,Gonzalez Burgos,Alcalde,Los Muermos,Union Democrata Independiente
,Jaime Alberto,Bertin Valenzuela,Alcalde,Osorno,Independientes
,Maria Elena,Ojeda Betancourt,Alcalde,Puerto Octay,Union Democrata Independiente
,Tomas Andres,Garate Silva,Alcalde,Puerto Varas,Independientes
,Alicia Del Carmen,Villar Vargas,Alcalde,Purranque,Independientes
,Jimena,Nuñez Morales,Alcalde,Puyehue,Union Democrata Independiente
,Sebastian,Cruzat Carcamo,Alcalde,Rio Negro,Renovacion Nacional
,Jose Luis,Muñoz Uribe,Alcalde,San Juan De La Costa,Partido Democrata Cristiano
,Marco Antonio,Carrillo Bravo,Alcalde,San Pablo,Partido Por La Democracia
,Andres Antonio,Ojeda Care,Alcalde,Ancud,Independientes
,Marco Andres,Silva Maldonado,Alcalde,Calbuco,Independientes
,Baltazar,Elgueta Cheuquepil,Alcalde,Castro,Partido Socialista De Chile
,Clara,Lazcano Fernandez,Alcalde,Chaiten,Independientes
,Fernando,Oyarzun Macias,Alcalde,Chonchi,Renovacion Nacional
,Francisco Javier,Donoso Oyarzun,Alcalde,Cochamo,Independientes
,Javiera,Yañez Rebolledo,Alcalde,Curaco De Velez,Independientes
,Alejandra,Villegas Huichaman,Alcalde,Dalcahue,Independientes
,Fernando Erwin,Grandon Domke,Alcalde,Futaleufu,Independientes
,Cristina,Espinoza Ojeda,Alcalde,Hualaihue,Independientes
,Nabih,Soza Cardenas,Alcalde,Maullin,Independientes
,Julio,Delgado Retamal,Alcalde,Palena,Renovacion Nacional
,Rodrigo,Wainraihgt Galilea,Alcalde,Puerto Montt,Renovacion Nacional
,Alejandro Ariel,Cardenas Quezada,Alcalde,Puqueldon,Independientes
,Marcos,Vargas Oyarzun,Alcalde,Queilen,Partido Democrata Cristiano
,Claudio Jorge,Barudy Labrin,Alcalde,Quellon,Independientes
,Javier,Ugarte Mansilla,Alcalde,Quemchi,Partido Socialista De Chile
,Rene,Garces Alvarez,Alcalde,Quinchao,Independientes
,Luis,Martinez Gallardo,Alcalde,Aysen,Union Democrata Independiente
